,hot_line,ram,screen_size,cpu_speed,hard_disk,cd_rom,cache,color_of_unit,availability,warranty,software,guarantee,price,task
381,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,19
382,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,19
383,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,19
384,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,19
385,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,19
386,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,19
387,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,19
388,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,19
389,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,19
390,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,19
391,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19
392,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,19
393,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,19
394,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,19
395,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,19
396,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,19
397,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,19
398,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,19
399,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,19
400,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,20
401,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,20
402,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,20
403,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,20
404,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,20
405,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,20
406,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,20
407,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,20
408,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,20
409,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,20
410,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,20
411,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20
412,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,20
413,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,20
414,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,20
415,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,20
416,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,20
417,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,20
418,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,20
419,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,20
420,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,21
421,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,21
422,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,21
423,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,21
424,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,21
425,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,21
426,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,21
427,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,21
428,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,21
429,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,21
430,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,21
431,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21
432,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,21
433,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,21
434,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,21
435,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,21
436,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,21
437,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,21
438,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,21
439,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,21
440,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,22
441,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,22
442,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,22
443,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,22
444,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,22
445,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,22
446,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,22
447,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,22
448,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,22
449,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,22
450,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,22
451,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22
452,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,22
453,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,22
454,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,22
455,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,22
456,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,22
457,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,22
458,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,22
459,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,22
460,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,23
461,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,23
462,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,23
463,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,23
464,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,23
465,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,23
466,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,23
467,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,23
468,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,23
469,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,23
470,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,23
471,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23
472,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,23
473,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,23
474,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,23
475,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,23
476,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,23
477,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,23
478,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,23
479,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,23
480,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,24
481,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,24
482,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,24
483,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,24
484,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,24
485,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,24
486,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,24
487,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,24
488,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,24
489,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,24
490,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,24
491,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24
492,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,24
493,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,24
494,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,24
495,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,24
496,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,24
497,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,24
498,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,24
499,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,24
500,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,25
501,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,25
502,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,25
503,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,25
504,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,25
505,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,25
506,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,25
507,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,25
508,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,25
509,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,25
510,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,25
511,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
512,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,25
513,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,25
514,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,25
515,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,25
516,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,25
517,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,25
518,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,25
519,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,25
520,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,26
521,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,26
522,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,26
523,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,26
524,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,26
525,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,26
526,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,26
527,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,26
528,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,26
529,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,26
530,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,26
531,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26
532,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,26
533,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,26
534,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,26
535,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,26
536,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,26
537,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,26
538,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,26
539,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,26
540,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,27
541,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,27
542,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,27
543,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,27
544,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,27
545,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,27
546,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,27
547,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,27
548,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,27
549,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,27
550,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,27
551,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,27
552,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,27
553,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,27
554,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,27
555,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,27
556,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,27
557,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,27
558,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,27
559,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,27
560,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,28
561,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,28
562,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,28
563,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,28
564,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,28
565,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,28
566,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,28
567,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,28
568,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,28
569,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,28
570,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,28
571,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28
572,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,28
573,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,28
574,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,28
575,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,28
576,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,28
577,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,28
578,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,28
579,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,28
580,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,29
581,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,29
582,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,29
583,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,29
584,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,29
585,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,29
586,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,29
587,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,29
588,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,29
589,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,29
590,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,29
591,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29
592,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,29
593,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,29
594,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,29
595,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,29
596,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,29
597,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,29
598,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,29
599,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,29
600,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,30
601,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,30
602,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,30
603,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,30
604,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,30
605,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,30
606,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,30
607,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,30
608,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,30
609,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,30
610,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,30
611,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
612,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,30
613,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,30
614,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,30
615,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,30
616,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,30
617,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,30
618,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,30
619,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,30
620,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,31
621,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,31
622,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,31
623,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,31
624,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,31
625,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,31
626,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,31
627,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,31
628,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,31
629,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,31
630,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,31
631,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,31
632,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,31
633,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,31
634,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,31
635,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,31
636,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,31
637,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,31
638,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,31
639,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,31
640,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,32
641,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,32
642,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,32
643,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,32
644,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,32
645,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,32
646,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,32
647,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,32
648,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,32
649,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,32
650,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,32
651,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32
652,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,32
653,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,32
654,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,32
655,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,32
656,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,32
657,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,32
658,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,32
659,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,32
660,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,33
661,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,33
662,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,33
663,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,33
664,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,33
665,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,33
666,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,33
667,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,33
668,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,33
669,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,33
670,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,33
671,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,33
672,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,33
673,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,33
674,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,33
675,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,33
676,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,33
677,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,33
678,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,33
679,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,33
680,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,34
681,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,34
682,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,34
683,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,34
684,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,34
685,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,34
686,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,34
687,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,34
688,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,34
689,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,34
690,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,34
691,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34
692,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,34
693,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,34
694,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,34
695,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,34
696,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,34
697,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,34
698,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,34
699,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,34
700,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,35
701,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,35
702,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,35
703,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,35
704,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,35
705,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,35
706,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,35
707,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,35
708,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,35
709,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,35
710,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,35
711,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35
712,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,35
713,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,35
714,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,35
715,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,35
716,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,35
717,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,35
718,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,35
719,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,35
720,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,36
721,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,36
722,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,36
723,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,36
724,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,36
725,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,36
726,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,36
727,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,36
728,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,36
729,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,36
730,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,36
731,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36
732,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,36
733,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,36
734,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,36
735,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,36
736,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,36
737,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,36
738,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,36
739,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,36
740,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,37
741,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,37
742,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,37
743,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,37
744,1,1,-1,1,1,-1,-1,1,-1,1,1,-1,1,37
745,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,37
746,-1,-1,1,1,-1,1,-1,1,-1,-1,-1,1,1,37
747,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,37
748,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,-1,37
749,1,-1,1,1,1,1,-1,-1,1,1,-1,-1,1,37
750,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,1,37
751,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37
752,1,1,1,-1,-1,1,-1,1,1,-1,1,-1,-1,37
753,-1,1,1,-1,1,1,-1,-1,-1,1,1,1,-1,37
754,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,37
755,-1,-1,-1,-1,-1,1,1,1,-1,1,1,-1,1,37
756,1,1,1,-1,-1,1,1,1,-1,-1,1,-1,1,37
757,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,1,37
758,1,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1,37
759,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,-1,37
760,1,-1,1,1,-1,-1,1,-1,-1,1,1,1,-1,38
761,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,1,38
762,1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,38
763,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,38
